Country Name,Country Code,Indicator Clean Name,Indicator Code,Year,Value
Sub-Saharan Africa (IDA & IBRD countries),TSS,Measles Immunization (%),SH.IMM.MEAS,2000,49.91975136
Sub-Saharan Africa (IDA & IBRD countries),TSS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,51.64378035
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,4090846
Upper middle income,UMC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.199022083
Upper middle income,UMC,Measles Immunization (%),SH.IMM.MEAS,2000,86.68424208
Upper middle income,UMC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,70.74535814
Upper middle income,UMC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1490805
Upper middle income,UMC,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.795785338
World,WLD,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,8.600477964
World,WLD,Measles Immunization (%),SH.IMM.MEAS,2000,71.52194499
World,WLD,Life Expectancy (Years),SP.DYN.LE00.IN,2000,67.65047787
World,WLD,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,10063220
World,WLD,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,3.029642536
Afghanistan,AFG,Measles Immunization (%),SH.IMM.MEAS,2000,27
Afghanistan,AFG,Life Expectancy (Years),SP.DYN.LE00.IN,2000,55.005
Afghanistan,AFG,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,131354
Albania,ALB,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.87429667
Albania,ALB,Measles Immunization (%),SH.IMM.MEAS,2000,95
Albania,ALB,Life Expectancy (Years),SP.DYN.LE00.IN,2000,74.826
Albania,ALB,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1629
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,3.97
Algeria,DZA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.21485448
Algeria,DZA,Measles Immunization (%),SH.IMM.MEAS,2000,80
Algeria,DZA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,70.576
Algeria,DZA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,25012
American Samoa,ASM,Life Expectancy (Years),SP.DYN.LE00.IN,2000,71.443
Andorra,AND,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.93342304
Andorra,AND,Measles Immunization (%),SH.IMM.MEAS,2000,97
Andorra,AND,Life Expectancy (Years),SP.DYN.LE00.IN,2000,81.863
Andorra,AND,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,6
Andorra,AND,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,3.303
Angola,AGO,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,1.68525279
Angola,AGO,Measles Immunization (%),SH.IMM.MEAS,2000,41
Angola,AGO,Life Expectancy (Years),SP.DYN.LE00.IN,2000,46.501
Angola,AGO,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,132456
Antigua and Barbuda,ATG,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.3239274
Antigua and Barbuda,ATG,Measles Immunization (%),SH.IMM.MEAS,2000,95
Antigua and Barbuda,ATG,Life Expectancy (Years),SP.DYN.LE00.IN,2000,74.819
Antigua and Barbuda,ATG,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,21
Argentina,ARG,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,8.22001076
Argentina,ARG,Measles Immunization (%),SH.IMM.MEAS,2000,91
Argentina,ARG,Life Expectancy (Years),SP.DYN.LE00.IN,2000,73.91
Argentina,ARG,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,13919
Armenia,ARM,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.19581175
Armenia,ARM,Measles Immunization (%),SH.IMM.MEAS,2000,92
Armenia,ARM,Life Expectancy (Years),SP.DYN.LE00.IN,2000,72.8804878
Armenia,ARM,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1125
Armenia,ARM,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,5.803
Aruba,ABW,Life Expectancy (Years),SP.DYN.LE00.IN,2000,72.939
Australia,AUS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,7.58869076
Australia,AUS,Measles Immunization (%),SH.IMM.MEAS,2000,91
Australia,AUS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,79.23414634
Australia,AUS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1545
Australia,AUS,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,10.01
Austria,AUT,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,9.38934517
Austria,AUT,Measles Immunization (%),SH.IMM.MEAS,2000,75
Austria,AUT,Life Expectancy (Years),SP.DYN.LE00.IN,2000,78.12682927
Austria,AUT,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,435
Austria,AUT,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,5.734
Azerbaijan,AZE,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,2.94891715
Azerbaijan,AZE,Measles Immunization (%),SH.IMM.MEAS,2000,67
Azerbaijan,AZE,Life Expectancy (Years),SP.DYN.LE00.IN,2000,65.377
Azerbaijan,AZE,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,9321
Azerbaijan,AZE,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,8.606
"Bahamas, The",BHS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.80487037
"Bahamas, The",BHS,Measles Immunization (%),SH.IMM.MEAS,2000,93
"Bahamas, The",BHS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,72.481
"Bahamas, The",BHS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,93
Bahrain,BHR,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.20020556
Bahrain,BHR,Measles Immunization (%),SH.IMM.MEAS,2000,98
Bahrain,BHR,Life Expectancy (Years),SP.DYN.LE00.IN,2000,74.673
Bahrain,BHR,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,170
